Gender,Age,Annual Income,Profession,Bought
female,67,79934,Gamer,1
male,73,102394,Business Professional,0
female,38,85790,Teacher,0
male,52,82312,Freelancer,1
male,69,128092,Gamer,1
female,49,125716,Software Engineer,1
female,49,32126,Gamer,1
female,19,91716,Doctor,0
male,20,22808,Graphic Designer,1
male,67,50719,Software Engineer,1
female,73,58351,Doctor,0
male,26,19648,Video Editor,1
female,61,133040,Student,0
female,67,92041,Accountant,0
male,58,69993,Video Editor,0
male,55,68904,Teacher,0
female,32,103627,Graphic Designer,1
female,51,15300,Business Professional,0
female,50,20461,Student,0
female,41,49788,Doctor,0
male,34,96212,Doctor,1
male,21,116345,Freelancer,1
female,60,25833,Graphic Designer,0
female,35,95092,Software Engineer,1
male,52,70919,Doctor,0
male,31,83141,Accountant,0
female,39,93331,Gamer,1
male,28,8549,Accountant,0
male,20,112478,Student,1
female,31,122644,Software Engineer,1
male,54,30287,Freelancer,1
female,63,79646,Software Engineer,1
male,22,132632,Freelancer,1
male,29,79547,Teacher,0
male,57,27358,Doctor,0
male,21,50070,Business Professional,1
male,47,51845,Gamer,1
male,63,14835,Software Engineer,1
male,70,21131,Gamer,1
female,22,75962,Teacher,0
female,50,136329,Software Engineer,1
female,33,114101,Teacher,0
female,60,100203,Business Professional,0
female,69,110844,Freelancer,0
female,63,58916,Doctor,0
male,26,7377,Accountant,0
female,67,116043,Student,0
female,41,3732,Teacher,0
male,30,125600,Graphic Designer,1
female,27,7807,Freelancer,1
male,23,39362,Teacher,0
male,55,17813,Teacher,0
female,54,22619,Graphic Designer,1
female,48,88874,Video Editor,0
male,58,78006,Business Professional,0
male,72,43296,Teacher,0
male,62,59061,Video Editor,0
female,35,127646,Graphic Designer,1
male,19,48652,Student,1
female,35,29328,Business Professional,0
female,75,58356,Doctor,0
female,42,130216,Teacher,0
female,72,22666,Accountant,0
female,31,99885,Accountant,0
male,31,15881,Gamer,1
male,72,52331,Freelancer,1
male,72,23422,Doctor,0
male,64,138806,Student,0
male,70,72064,Graphic Designer,1
female,40,92113,Graphic Designer,1
male,34,73739,Student,1
female,18,16011,Video Editor,1
female,38,85656,Doctor,0
female,56,134328,Graphic Designer,0
male,56,56236,Gamer,1
male,44,101840,Doctor,0
male,21,9641,Freelancer,1
female,45,121212,Graphic Designer,1
female,42,87581,Teacher,0
female,63,119412,Student,0
male,41,40929,Business Professional,0
male,38,78945,Student,0
male,72,98004,Gamer,1
male,28,49754,Graphic Designer,1
male,68,57793,Doctor,0
male,29,92349,Accountant,0
male,53,119172,Doctor,0
male,70,91481,Graphic Designer,1
female,24,48050,Software Engineer,1
male,38,112309,Freelancer,1
male,67,61064,Student,0
male,56,29586,Video Editor,0
female,70,126610,Teacher,0
female,75,48733,Student,0
female,25,8247,Business Professional,0
male,60,123579,Software Engineer,1
male,55,96059,Teacher,0
male,19,105718,Teacher,0
male,67,68125,Student,0
female,20,115438,Accountant,0
male,49,136588,Video Editor,1
female,72,133591,Business Professional,0
male,38,30648,Teacher,0
male,23,61768,Freelancer,1
female,27,10220,Teacher,0
female,51,123878,Business Professional,0
male,54,87460,Video Editor,1
male,34,135612,Accountant,0
male,20,90671,Student,1
female,47,94066,Student,0
female,55,63798,Software Engineer,1
female,24,35806,Teacher,0
male,54,102734,Teacher,0
female,66,35063,Business Professional,0
male,25,135157,Accountant,0
female,71,54361,Doctor,0
female,27,124038,Teacher,0
female,68,23186,Teacher,0
male,71,29646,Software Engineer,1
male,29,26310,Doctor,1
male,58,40930,Student,0
female,67,40955,Business Professional,0
female,58,19182,Teacher,0
male,72,112981,Software Engineer,1
female,52,43244,Student,0
female,70,58803,Doctor,0
female,55,79842,Doctor,0
female,38,14611,Accountant,0
female,25,36838,Software Engineer,1
male,73,38896,Teacher,0
male,60,119996,Doctor,0
female,52,100954,Doctor,0
male,21,107677,Accountant,0
male,75,72928,Software Engineer,1
male,73,132144,Software Engineer,1
female,50,90080,Doctor,0
female,59,22589,Software Engineer,1
female,61,116621,Gamer,1
female,61,134581,Graphic Designer,0
male,31,60271,Graphic Designer,1
female,36,6597,Video Editor,0
female,69,93310,Student,0
male,36,79097,Freelancer,1
female,65,27841,Graphic Designer,0
female,34,108023,Graphic Designer,1
female,39,106487,Freelancer,1
male,19,46372,Software Engineer,1
female,52,95695,Graphic Designer,1
female,44,6001,Doctor,0
female,48,65962,Business Professional,0
female,20,48390,Video Editor,1
male,45,139142,Student,0
female,18,116213,Software Engineer,1
male,36,49617,Software Engineer,1
male,39,68908,Graphic Designer,1
female,70,13794,Accountant,0
male,46,91701,Graphic Designer,1
female,31,68764,Video Editor,1
male,28,21994,Software Engineer,1
male,75,47957,Freelancer,1
male,19,8502,Graphic Designer,1
female,20,121227,Graphic Designer,1
male,70,80327,Accountant,0
male,52,37579,Software Engineer,1
male,20,16618,Software Engineer,1
female,28,84799,Software Engineer,1
male,70,68895,Business Professional,0
female,38,113518,Software Engineer,1
female,37,86405,Software Engineer,1
female,34,91715,Software Engineer,1
female,21,35911,Graphic Designer,1
male,23,26545,Teacher,0
female,50,27090,Graphic Designer,1
female,40,103591,Student,0
female,26,92227,Freelancer,1
female,65,100171,Student,0
female,62,67584,Student,0
male,22,109408,Doctor,1
female,62,133036,Graphic Designer,0
