Order Id,Company Id,Company Name,Date,Order Value,Converted
80EYLOKP9E762WKG,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,18-02-2017,4875,1
TLEXR1HZWTUTBHPB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,30-07-2015,8425,0
839FKFW2LLX4LMBB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,27-05-2016,4837,0
97OX39BGVMHODLJM,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,27-09-2018,343,0
5T4LGH4XGBWOD49Z,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,14-01-2016,983,0
041ORQM5OIHTIU6L,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,24-08-2014,4185,0
8QUW0UXQ3XHIL56W,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,09-06-2018,3186,0
6CE8ZDK832NZWJX5,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,01-03-2018,7634,0
DSG1EKQVYZD63WCS,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,04-01-2015,2900,0
YT796QI18WNGZ7ZJ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,12-04-2014,5839,0
6YLROQT27B6HRF4E,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,28-07-2015,8841,0
WYDFDKHADZPNGLEY,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,06-03-2016,7044,0
5R53QASREK911LJV,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,26-08-2018,5173,0
0X57BF04C3X3OHHB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,21-11-2015,1104,0
AT0R4DFYYAFOC88Q,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,21-07-2014,1883,0
KJ5BSZH04HH05GD6,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,02-06-2017,5176,1
YCC4FERSSE7IA31M,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,26-06-2018,4418,0
5WS2WEUKWONW9FFS,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,07-05-2018,376,0
CI0ML2FIU25S84QX,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,03-07-2016,8070,0
C0E1XGLTSP9563UZ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,25-06-2014,409,0
